Response ID,What year were you born?,What is your gender?,Which of the following best describes your industry?,Which of the following best describes your industry? (Detailed),Which of the following best describes your current occupation?,Which of the following best describes your current occupation? (Detailed),How many people are currently employed by your organisation?,Do you manage people as part of your current occupation?,Which of the following best describes your household?,How long have you been in your current job?,Metro / Regional,"Thinking about your current job, how much of your time did you spend remote working last year?",My organisation encouraged people to work remotely,My organisation was well prepared for me to work remotely,It was common for people in my organisation to work remotely,It was easy to get permission to work remotely,I could easily collaborate with colleagues when working remotely,I would recommend remote working to others,,,,
450,1965,Male,"Electricity, Gas, Water and Waste Services","Water Supply, Sewerage and Drainage Services",Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,50%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
451,1960,Female,Health Care and Social Assistance,Hospitals,Professionals,ICT Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Metro,10%,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,,,
452,1988,Male,Retail Trade,Other Store-Based Retailing,Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,20%,Strongly disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,,,,
453,1958,Female,"Agriculture, Forestry and Fishing",Agriculture,Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,50%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
454,1959,Female,Financial and Insurance Services,Finance,Clerical and administrative ,Clerical and Office Support ,Between 5 and 19,No,Single person,Between 6 and 12 months,Regional,0%,NA,NA,NA,NA,NA,NA,,,,
455,1959,Male,"Electricity, Gas, Water and Waste Services","Waste Collection, Treatment and Disposal Services",Sales ,Sales Assistants and Salespersons,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,40%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,,,,
456,1963,Female,Manufacturing,Beverage and Tobacco Product Manufacturing,Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,No,One  parent family with dependent children,Between 6 and 12 months,Metro,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,,,,
457,1996,Female,Health Care and Social Assistance,Hospitals,Professionals,Health Professionals,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,10%,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,,,
458,1984,Male,Information Media and Telecommunications,Publishing (except Internet and Music Publishing),Professionals,Arts and Media Professionals,Between 5 and 19,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
459,1959,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,20%,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,,,,
460,1961,Male,Other Services,Personal and Other Services,Clerical and administrative ,Office Managers and Program Administrators,More than 200,Yes,Couple with no dependent children,More than 5 years,Regional,50%,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,,,,
461,1980,Male,Administrative and Support Services,Administrative Services,Clerical and administrative ,Other Clerical and Administrative ,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
462,1972,Female,Health Care and Social Assistance,Social Assistance Services,Community and personal service ,Carers and Aides,I am the only employee,No,Couple with no dependent children,Between 1 and 5 years,Metro,20%,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,,,,
463,1965,Male,Financial and Insurance Services,Finance,Sales ,Sales Representatives and Agents,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,50%,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,,,,
464,1970,Male,Education and Training,Tertiary Education,Managers,Specialist Managers,More than 200,Yes,Couple with dependent children,Between 6 and 12 months,Metro,10%,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
465,1988,Male,Retail Trade,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,Managers,"Chief Executives, General Managers and Legislators",I am the only employee,No,Group household,More than 5 years,Regional,100%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
466,1980,Female,Information Media and Telecommunications,Telecommunications Services,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,20%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,,,
467,1963,Male,Financial and Insurance Services,Finance,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Couple with dependent children,More than 5 years,Metro,10%,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,,,,
468,1961,Male,"Electricity, Gas, Water and Waste Services",Electricity Supply,Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,10%,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,,,,
469,1980,Male,Retail Trade,Fuel Retailing,Professionals,ICT Professionals,More than 200,Yes,Single person,More than 5 years,Metro,10%,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,,,,
470,1973,Male,Financial and Insurance Services,Finance,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,50%,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,,,,
471,2000,Male,Information Media and Telecommunications,Telecommunications Services,Managers,Specialist Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
472,1985,Male,Financial and Insurance Services,Finance,Sales ,Sales Support ,Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,100%,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,,,,
473,1956,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Business, Human Resource and Marketing Professionals",More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,30%,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,,,,
474,1961,Female,Health Care and Social Assistance,Medical and Other Health Care Services,Professionals,Health Professionals,I am the only employee,No,Couple with dependent children,Between 1 and 5 years,Metro,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,,,,
475,1990,Female,Education and Training,"Adult, Community and Other Education",Sales ,Sales Representatives and Agents,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,30%,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,,,,
476,1959,Female,Education and Training,"Adult, Community and Other Education",Clerical and administrative ,Personal Assistants and Secretaries,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,30%,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,,,,
477,1979,Female,Education and Training,Preschool and School Education,Professionals,Education Professionals,Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
478,1976,Male,Manufacturing,Machinery and Equipment Manufacturing,Clerical and administrative ,General Clerical ,More than 200,No,Couple with dependent children,More than 5 years,Metro,10%,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,,,,
479,1986,Female,Education and Training,Preschool and School Education,Managers,Specialist Managers,More than 200,Yes,Single person,More than 5 years,Regional,0%,NA,NA,NA,NA,NA,NA,,,,
480,1964,Female,Health Care and Social Assistance,Social Assistance Services,Community and personal service ,Health and Welfare Support ,Between 5 and 19,No,Couple with no dependent children,More than 5 years,Metro,10%,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,,,,
481,1956,Male,Financial and Insurance Services,Insurance and Superannuation Funds,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Couple with dependent children,More than 5 years,Metro,20%,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,,,,
482,1992,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,Arts and Media Professionals,Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Metro,10%,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
483,1960,Male,Public Administration and Safety,Defence,Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Regional,0%,NA,NA,NA,NA,NA,NA,,,,
484,1958,Male,"Electricity, Gas, Water and Waste Services",Electricity Supply,Managers,Specialist Managers,More than 200,Yes,Single person,Between 1 and 5 years,Metro,100%,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,,,,
485,1996,Female,"Rental, Hiring and Real Estate Services",Property Operators and Real Estate Services,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,10%,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,,,,
486,1964,Male,"Rental, Hiring and Real Estate Services",Property Operators and Real Estate Services,Managers,"Hospitality, Retail and Service Managers",More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,60%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,,,,
487,1988,Male,Education and Training,"Adult, Community and Other Education",Clerical and administrative ,Clerical and Office Support ,More than 200,No,Other one family household,More than 5 years,Regional,20%,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,,,,
488,1973,Male,Health Care and Social Assistance,Hospitals,Professionals,Health Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Regional,10%,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,,,,
489,1988,Female,Health Care and Social Assistance,Medical and Other Health Care Services,Professionals,Health Professionals,Between 20 and 199,No,Couple with no dependent children,Between 6 and 12 months,Metro,50%,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,,,,
490,1962,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Legal, Social and Welfare Professionals",More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,20%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,,,,
491,1988,Male,Information Media and Telecommunications,Telecommunications Services,Professionals,ICT Professionals,More than 200,No,Couple with no dependent children,Between 6 and 12 months,Metro,50%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,,,,
492,1982,Female,"Rental, Hiring and Real Estate Services",Property Operators and Real Estate Services,Professionals,"Business, Human Resource and Marketing Professionals",Between 5 and 19,Yes,One  parent family with dependent children,Between 1 and 5 years,Metro,10%,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
493,1989,Male,Financial and Insurance Services,Finance,Professionals,ICT Professionals,More than 200,Yes,Other one family household,Between 1 and 5 years,Metro,50%,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,,,,
494,1987,Male,Other Services,Personal and Other Services,Professionals,Health Professionals,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,20%,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,,,,
